id;kurztitel;kategorie;unterkategorie;datum_beginn;datum_ende;terminliste;landname;ort;va_name;va_adresse;va_telefon;va_fax;va_email;va_internet;teilnehmerkreis;externer_link;lfdnr
100115993;"Systemische Therapie und Beratung";Psychologie;;2022-09-12;2025-09-24;"12.09.2022 - 24.09.2025 (Dieser Termin hat bereits begonnen)";Deutschland;Berlin;"SIA
Systemisches Institut für Achtsamkeit";"Friedelstr. 40
12047 Berlin";"'+49 (0)30 62726505'";;mailto:info@sia-berlin.com;;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen, Berliner Ärzte/Ärztinnen, Psycholog*innen, Pädagog*innen, Sozialpädagog*innen und andere Personengruppen, die in der psychosozialen Versorgung tätig sind";;1
100118149;"Klimawandel und Naturgefahren im Alpenraum";"Politische Bildung";"Ökologie und Umweltpolitik";2025-02-03;2025-08-28;"28.08.2023 - 01.09.2023 (Dieser Termin ist bereits vorbei)
04.09.2023 - 08.09.2023 (Dieser Termin ist bereits vorbei)
29.01.2024 - 02.02.2024 (Dieser Termin ist bereits vorbei)
22.07.2024 - 26.07.2024 (Dieser Termin ist bereits vorbei)
29.07.2024 - 02.08.2024 (Dieser Termin ist bereits vorbei)
09.09.2024 - 13.09.2024 (Dieser Termin ist bereits vorbei)
16.09.2024 - 20.09.2024 (Dieser Termin ist bereits vorbei)
03.02.2025 - 07.02.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 28.08.2025 möglich";Deutschland;Berchtesgaden;"Dr. Tanja Tillmann
(Dr. TillmannTravel - Geostudienreisen)";"Gartenstr. 22b
26506 Norden";04931/9729373;04931/9729363;mailto:info@tillmann-travel.com;"www.bildungsurlaub.de; www.geostudienreisen.de";"Für interessierte Berliner Arbeitnehmer/innen";;2
100118798;"Singen und Musizieren in der Grundschule Berufsbegleitende Fortbildung für fachfremd Musik unterrichtende Pädagoginnen und Pädagogen (Klassen 1 bis 4)";Pädagogik;Musikpädagogik;2025-05-06;2027-05-06;"06.05.2025 - 07.05.2025 (Dieser Termin ist bereits vorbei)
06.05.2025 - 12.11.2025 (Dieser Termin hat bereits begonnen)
17.06.2025 - 18.06.2025 (Dieser Termin ist bereits vorbei)
08.07.2025 - 09.07.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 06.05.2027 möglich";Deutschland;Berlin;"Deutscher Chorverband e.V.";"Karl-Marx-Straße 145
12043 Berlin";030847108921;030847108999;mailto:carusos@deutscher-chorverband.de;https://www.die-carusos.de/fortbildungen/lehrer/fortbildung-2025;"Für Berliner GrundschulpädagogInnen, die im Land Berlin ohne Schulmusik-Ausbildung in den Jahrgangsstufen 1 bis 4 Musik unterrichten und die o.g. Kenntnisse für ihre berufliche Tätigkeit benötigen.";;3
100119282;"Angewandte Demokratie";"Politische Bildung";"Demokratie und Medienpolitik";2025-03-03;2025-08-21;"21.08.2023 - 25.08.2023 (Dieser Termin ist bereits vorbei)
05.08.2024 - 09.08.2024 (Dieser Termin ist bereits vorbei)
03.03.2025 - 07.03.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 21.08.2025 möglich";Deutschland;"Walsrode und ggf. andere Orte";"ver.di GPB
Bildungs- und Tagungszentrum
Walsrode";"Sunderstr. 77
29664 Walsrode";05161/979559;05161/979562;mailto:biz.walsrode@verdi.de;https://bildungsportal.verdi.de/seminare_programm_einzeln.php?si=6423f26313284&view=&lang=1&hauptkategorie=&unterkategorie=&id=ant23_0000500;"Für interessierte Berliner Arbeitnehmer/innen";;4
100119294;"Gestalttherapie - 4 jährige Weiterbildung -";Psychologie;;2025-04-03;2028-04-03;"03.04.2025 - 27.01.2029 (Dieser Termin hat bereits begonnen)
weitere Termine zu dieser Veranstaltung sind noch bis 03.04.2028 möglich";Deutschland;"Berlin und ggf. andere Orte";"InKontakt Gestaltinstitut Berlin - Gabriele Blankertz";"Gleimstraße 37
10437  Berlin";"030 49987606";;mailto:inkontakt@gestalt-institut.com;https://www.gestalt-institut.com/allgemein/4-jaehrige-weiterbildung-in-gestalttherapie/;"Für Berliner Arbeitnehmer/innen, die in therapeutischen, beratenden oder pädagogischen Berufsfeldern tätig sind und die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;5
100120199;"G.O.T. M - General Osteopathic Treatments - M";"Gesundheit und Ernährung";"Berufe Gesundheit und Ernährung";2023-10-12;2025-10-12;"12.10.2023 - 14.10.2023 (Dieser Termin ist bereits vorbei)
17.09.2025 - 20.09.2025
weitere Termine zu dieser Veranstaltung sind noch bis 12.10.2025 möglich";Deutschland;"Berlin und ggf. andere Orte";"curakurse
Stollenwerk/Goerke GbR";"Anklamer Str. 38
10115 Berlin";03044317135;;mailto:anmeldung@curakurse.de;;"Für Berliner Heilpraktiker/innen, Ärzte/innen und Physiotherapeuten/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;6
100120202;"TMT- Temporo-Mandibuläre Techniken";"Gesundheit und Ernährung";"Berufe Gesundheit und Ernährung";2023-11-15;2025-11-15;"15.11.2023 - 18.11.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 15.11.2025 möglich";Deutschland;"Berlin und ggf. andere Orte";"curakurse
Stollenwerk/Goerke GbR";"Anklamer Str. 38
10115 Berlin";03044317135;;mailto:anmeldung@curakurse.de;;"Für Berliner Heilpraktiker/innen, Ärzte/innen und Physiotherapeuten/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;7
100120203;"C-ADV - Craniosakrale Osteopathie - (für Fortgeschrittene)";"Gesundheit und Ernährung";"Berufe Gesundheit und Ernährung";2024-12-04;2025-11-29;"29.11.2023 - 02.12.2023 (Dieser Termin ist bereits vorbei)
04.12.2024 - 07.12.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 29.11.2025 möglich";Deutschland;"Berlin und ggf. andere Orte";"curakurse
Stollenwerk/Goerke GbR";"Anklamer Str. 38
10115 Berlin";03044317135;;mailto:anmeldung@curakurse.de;;"Für Berliner Heilpraktiker/innen, Ärzte/innen und Physiotherapeuten/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;8
100120273;"Vertreibung / Wypędzenie - Zwangsmigration auf deutscher und polnischer Seite";"Politische Bildung";Geschichte;2024-06-03;2025-08-28;"28.08.2023 - 01.09.2023 (Dieser Termin ist bereits vorbei)
03.06.2024 - 07.06.2024 (Dieser Termin ist bereits vorbei)
19.05.2025 - 23.05.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 28.08.2025 möglich";Deutschland;Berlin;"Berliner Unterwelten e.V.";"Brunnenstr. 105
13355 Berlin";030/88668465;030/88668495;mailto:seminar@berliner-unterwelten.de;https://www.berliner-unterwelten.de/seminare/allgemeine-informationen.html;"Für interessierte Berliner Arbeitnehmer/innen";;9
100120388;"Manuelle Therapie- das osteopathische Konzept (Modul 3)";"Gesundheit und Ernährung";"Berufe Gesundheit und Ernährung";2023-08-31;2025-08-31;"31.08.2023 - 03.09.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 31.08.2025 möglich";Deutschland;"Berlin und ggf. andere Orte";"Top-Physio GmbH";"Voltastr. 3
13355 Berlin";030/405057660;030/405057662;mailto:schulungszentrum@top-physio.de;https://www.top-physio.com/-kurs-39-Manuelle-Therapie-Das-Osteopathische-Konzept-Ausbildung-Fortbildung;"Für Berliner Physiotherapeuten/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;10
